date,range,se_lat,se_lon,hg_lat,hg_lon,ihg_lon
1977-09-09,1.01,0.1,347.3,7.3347,284.63,271.86
1977-09-10,1.01,0.1,348.6,7.3275,271.75,273.17
1977-09-11,1.01,0.1,349.9,7.3166,258.88,274.48
1977-09-12,1.01,0.2,351.2,7.4019,246.01,275.79
1977-09-13,1.02,0.2,352.5,7.3835,233.13,277.1
1977-09-14,1.02,0.2,353.8,7.3614,220.26,278.42
1977-09-15,1.02,0.2,355.1,7.3356,207.39,279.73
1977-09-16,1.02,0.2,356.4,7.3061,194.51,281.04
1977-09-17,1.02,0.3,357.6,7.3755,181.54,282.25
1977-09-18,1.03,0.3,358.9,7.339,168.66,283.56
1977-09-19,1.03,0.3,0.1,7.302,155.69,284.77
1977-09-20,1.03,0.3,1.4,7.2584,142.82,286.08
1977-09-21,1.04,0.3,2.6,7.215,129.84,287.29
1977-09-22,1.04,0.4,3.8,7.2685,116.87,288.5
1977-09-23,1.04,0.4,5.1,7.2148,103.99,289.81
1977-09-24,1.05,0.4,6.3,7.162,91.02,291.02
1977-09-25,1.05,0.4,7.5,7.1063,78.04,292.22
1977-09-26,1.06,0.4,8.7,7.0477,65.06,293.43
1977-09-27,1.06,0.5,9.8,7.0912,51.99,294.54
1977-09-28,1.07,0.5,11.0,7.0269,39.01,295.75
1977-09-29,1.07,0.5,12.2,6.9598,26.04,296.96
1977-09-30,1.08,0.5,13.3,6.8958,12.96,298.06
1977-10-01,1.08,0.5,14.5,6.8233,359.98,299.27
1977-10-02,1.09,0.6,15.6,6.8541,346.91,300.38
1977-10-03,1.09,0.6,16.7,6.7829,333.83,301.49
1977-10-04,1.1,0.6,17.8,6.7094,320.75,302.59
1977-10-05,1.11,0.6,18.9,6.6336,307.67,303.7
1977-10-06,1.11,0.6,20.0,6.5556,294.59,304.8
1977-10-07,1.12,0.6,21.0,6.4828,281.41,305.81
1977-10-08,1.12,0.7,22.1,6.5003,268.34,306.92
1977-10-09,1.13,0.7,23.1,6.4238,255.16,307.92
1977-10-10,1.14,0.7,24.2,6.3375,242.07,309.02
1977-10-11,1.15,0.7,25.2,6.2573,228.89,310.03
1977-10-12,1.15,0.7,26.2,6.1755,215.71,311.03
1977-10-13,1.16,0.7,27.2,6.0919,202.53,312.03
1977-10-14,1.17,0.7,28.1,6.0154,189.25,312.93
