title,date,image_id,page_url,caption
Exaggerated Color East of the Great Red Spot,1996-01-29,PIA00020,https://photojournal.jpl.nasa.gov/catalog/PIA00020,This view of the region just to the east of the Red Spot is seen in greatly exaggerated color. The colors do not represent the true hues seen in the Jovian atmosphere but have been produced by special computer processing to enhance subtle variations in both color and shading.
Exaggerated Color View of the Great Red Spot,1996-01-29,PIA00018,https://photojournal.jpl.nasa.gov/catalog/PIA00018,This view of the Great Red Spot is seen in greatly exaggerated color. The colors do not represent the true hues seen in the Jovian atmosphere but have been produced by special computer processing to enhance subtle variations in both color and shading.
Cylindrical Projection of Jupiter,1979-02-01,PIA00011,https://photojournal.jpl.nasa.gov/catalog/PIA00011,"This computer generated map of Jupiter was made from 10 color images of Jupiter taken Feb. 1, 1979, by Voyager 1, during a single, 10 hour rotation of the planet. Computers at Jet Propulsion Laboratory's Image Processing Lab then turned the photos into this cylindrical projection. Such a projection is invaluable as an instantaneous view of the entire planet. Along the northern edge of the north equatorial belt (NEB) are four dark brown, oblong regions believed by some scientists to be openings in the more colorful upper cloud decks, allowing the darker clouds beneath to be seen. The broad equatorial zone (EZ) is dominated by a series of plumes, possibly regions of intense convective activity, encircling the entire planet. In the southern hemisphere the Great Red Spot is located at about 75 degrees longitude. South of the Great Red Spot in the south temperate zone (STeZ) three large white ovals, seen from Earth-based observatories for the past few decades, are located at 5 degrees, 85 degrees and 170 degrees longitude. Resolution in this map is 375 miles (600 kilometers). Since Jupiter's atmospheric features drift around the planet, longitude is based on the orientation of the planet's magnetic field. Symbols at right edge of photo denote major atmospheric features (dark belts and light zones): NTeZ - north temperate zone; NTrZ - north tropical zone; NEB - north equatorial belt; EZ - equatorial zone; SEB - south equatorial belt; STrZ - south tropical zone; and STeZ - south temperate zone. Voyager belt; EZ - equatorial zone; SEB - south tropical zone."
Galilean Satellites,1996-01-29,PIA00012,https://photojournal.jpl.nasa.gov/catalog/PIA00012,"These photos of the four Galilean satellites of Jupiter were taken by Voyager 1 during its approach to the planet in early March 1979. Io (top left), Europa (top right), Ganymede (bottom left) and Callisto (bottom right) are shown in their correct relative sizes: Ganymede and Callisto are both larger than the planet Mercury; Io and Europa are about the same size as the Moon. Image processing also preserves the relative contrasts of the satellites. Thus it is apparent that Europa has the least contrast; Io the greatest. Io is covered with active volcanoes and a surface composed largely of sulfur. Europa is apparently very different; Voyager 1 did not approach Europa closely enough to show its surface in great detail; that remains for Voyager 2. Ganymede and Callisto are both composed mostly of water and water ice; they have large quantities of ice exposed on their surfaces. The Io photo was taken from 1.7 million miles (2.9 million kilometers); Europa, 1.7 million miles (2.9 million kilometers); Ganymede, 2 million miles (3.4 million kilometers); and Callisto, 4.1 million miles (6.9 million kilometers). Resolution of all photos except Callisto is about 30 miles (50 kilometers), and for Callisto it is 60 miles (100 kilometers)."
Large Brown Oval,1979-03-02,PIA00015,https://photojournal.jpl.nasa.gov/catalog/PIA00015,"This large brown oval, photographed on March 2, 1979 by Voyager 1, is located between 13° and 18° N latitude and may be an opening in the upper cloud deck which, if observed at extremely high resolution, could provide information about deeper, warmer cloud levels; therefore, it has been selected as one of the targets to be photographed on March 5 near closest approach to Jupiter. Features of this sort are not rare on Jupiter and have an average lifetime of one to two years. Above the feature is the pale orange North Temperate Belt, bounded on the south by the high speed North Temperate Current with winds of 120 meters/sec (260 mi/hr). The range to Jupiter at the time this photograph was obtained was 4.0 million kilometers (2.5 million miles) with the smallest resolvable features being 75 kilometers (45 miles) wide."
Cloud Layers Southeast of the Great Red Spot,1979-03-04,PIA00017,https://photojournal.jpl.nasa.gov/catalog/PIA00017,"This view of the region just to the Southeast of the Great Red Spot was taken by Voyager 1 on March 4, 1979 at a distance of 1,100,000 miles (1,800,000 km). Differences in cloud color may indicate relative heights of the cloud layers but the exact relationship between color and height has not yet been established. The smallest clouds seen in this picture are approximately 20 miles (30 km) across."
Cloud Layers East of the Great Red Spot,1979-03-04,PIA00019,https://photojournal.jpl.nasa.gov/catalog/PIA00019,"This color view of the region just to the East of the Great Red Spot was taken by Voyager 1 on March 4, 1979 at a distance of 1,000,000 miles (1,800,000 km). Differences in cloud color may indicate relative heights of the cloud layers but the exact relationship between color and height has not yet been established. The smallest clouds seen in this picture are approximately 20 miles (30 km) across."
Saturn With Tethys and Dione,1980-11-03,PIA00024,https://photojournal.jpl.nasa.gov/catalog/PIA00024,"Saturn and two of its moons, Tethys (above) and Dione, were photographed by Voyager 1 on November 3, 1980, from 13 million kilometers (8 million miles). The shadows of Saturn's three bright rings and Tethys are cast onto the cloud tops. The limb of the planet can be seen easily through the 3,500-kilometer-wide (2,170 mile) Cassini Division, which separates ring A from ring B. The view through the much narrower Encke Division, near the outer edge of ring A is less clear. Beyond the Encke Division (at left) is the faintest of Saturn's three bright rings, the C-ring or crepe ring, barely visible against the planet."
Saturn - Brown Ovals in Northern Hemisphere,1980-11-07,PIA00026,https://photojournal.jpl.nasa.gov/catalog/PIA00026,"Two brown ovals, at right, some 10,000 kilometers (6,000 miles) across, were found at approximately 40` and 60` latitude in Saturn's northern hemisphere by Voyager 1. The photo was taken on November 7, 1980, from a range of 7,500,000 kilometers (4,600,000 miles). The polar oval (upper right) has a structure similar to the Saturn red spot located in the southern polar latitudes."
Io - Full Disk,1979-03-04,PIA00023,https://photojournal.jpl.nasa.gov/catalog/PIA00023,"This full-disk image of Jupiter's satellite Io was made from several frames taken by Voyager 1 on March 4, 1979, as the spacecraft neared the satellite. Io is about 862,000 kilometers (500,000 miles) away here. A variety of features can be seen in the photo that appear linked to the intense volcanic activity on Io: the circular, donut-shaped feature in the center has been identified with a known erupting volcano; other, similar features can be seen across the face of the satellite. Io's volcanic activity appears to be of at least two general kinds -- explosive eruptions that spew material into the sky as much as 250 kilometers (160 miles) altitude; and lava that flows from vents across the surface. Io is the first body in the solar system (beyond Earth) where active volcanism has been observed."
Saturn - False Color of Southern Hemisphere,1980-11-06,PIA00025,https://photojournal.jpl.nasa.gov/catalog/PIA00025,"This false-color image of Saturn's southern hemisphere taken by NASA's Voyager 1 on Nov. 6, 1980, shows the unique red oval cloud feature located at 55 degrees south latitude. The photograph was taken by the spacecraft at a distance of 8,500,000 kilometers (5,300,000 miles) from Saturn. The difference in color between the red oval and surrounding bluish clouds indicates that material within the oval contains a substance that absorbs more blue and violet light than the bluish clouds. Voyager imaging team scientists first observed the oval in August 1980, and the feature has seemed to retain its appearance since its discovery."
Jupiter with Satellites Io and Europa,1979-02-13,PIA00144,https://photojournal.jpl.nasa.gov/catalog/PIA00144,"Voyager 1 took this photo of Jupiter and two of its satellites (Io, left, and Europa) on Feb. 13, 1979. Io is about 350,000 kilometers (220,000 miles) above Jupiter's Great Red Spot; Europa is about 600,000 kilometers (375,000 miles) above Jupiter's clouds. Although both satellites have about the same brightness, Io's color is very different from Europa's. Io's equatorial region show two types of material -- dark orange, broken by several bright spots -- producing a mottled appearance. The poles are darker and reddish. Preliminary evidence suggests color variations within and between the polar regions. Io's surface composition is unknown, but scientists believe it may be a mixture of salts and sulfur. Europa is less strongly colored, although still relatively dark at short wavelengths. Markings on Europa are less evident than on the other satellites, although this picture shows darker regions toward the trailing half of the visible disk. Jupiter is about 20 million kilometers (12.4 million miles) from the spacecraft. At this resolution (about 400 kilometers or 250 miles) there is evidence of circular motion in Jupiter's atmosphere. While the dominant large-scale motions are west-to-east, small-scale movement includes eddy-like circulation within and between the bands. This photo was assembled from three black and white negatives by the Image Processing Lab at Jet Propulsion Laboratory."
Jupiter Great Red Spot,1979-02-25,PIA00014,https://photojournal.jpl.nasa.gov/catalog/PIA00014,"This dramatic view of Jupiter's Great Red Spot and its surroundings was obtained by Voyager 1 on Feb. 25, 1979, when the spacecraft was 5.7 million miles (9.2 million kilometers) from Jupiter. Cloud details as small as 100 miles (160 kilometers) across can be seen here. The colorful, wavy cloud pattern to the left of the Red Spot is a region of extraordinarily complex end variable wave motion."
Jupiter with Satellite Io,1979-02-01,PIA00235,https://photojournal.jpl.nasa.gov/catalog/PIA00235,"Voyager 1 took this photo of Jupiter Feb. 1, 1979, at a range of 20 million miles (32.7 million kilometers). Voyager scientists can now see that different colors in clouds around the Great Red Spot imply that the clouds swirl around the spot at varying altitudes. They also observe apparently regular spacing between the small white spots in the southern hemisphere and similar positioning of dark spots in the northern hemisphere. A major activity will be to understand the form and structure of the spots and how they may relate to interactions between the atmospheric composition and its motions. When scientists compare this image with the 6,000 others already taken, they see many changes both large and small. The bright cloud in the equatorial region north of the Great Red Spot, for example, appears to be where bright clouds originate, then stream westward. On the other hand, the bright ovals south of the Great Red Spot were seen to form about 40 years ago, and have remained much the same ever since. The Great Red Spot itself has been observed for hundreds of years though never in the detail seen here. Objects as small as 375 miles (600 kilometers across can be seen in this image. That resolution is the best achieved of Jupiter. This black-and-white photo was taken through blue filter."
Io with Loki Plume on Bright Limb,1996-06-03,PIA00010,https://photojournal.jpl.nasa.gov/catalog/PIA00010,"NASA's Voyager 1 image of Io showing active plume of Loki on limb. Heart-shaped feature southeast of Loki consists of fallout deposits from active plume Pele. The images that make up this mosaic were taken from an average distance of approximately 490,000 kilometers (340,000 miles)."
Ganymede at 2.6 million miles,1996-07-17,PIA00351,https://photojournal.jpl.nasa.gov/catalog/PIA00351,"This photo of Ganymede, largest of Jupiter's Galilean satellites and the third from the planet, was taken shortly after midnight March 1, from a distance of 2.6 million miles (4.2 million kilometers). Ganymede is slightly larger than the planet Mercury, but is much less dense; it has roughly twice the density of water. Ganymede's surface brightness is four times that of Earth's Moon. This photo shows dark features reminiscent of the dark, mare regions on the Moon. On Ganymede, however, these features have twice the brightness of lunar mare. Scientists believe they are unlikely to be composed of rock or lava as the Moon's mare regions are. Ganymede's north polar region appears to be covered with brighter material, and scientists say it could be water frost. Later photos of Ganymede will be taken from closer range and will therefore have higher resolution if those photos of the polar region show underlying terrain blanketed by frost, it could indicate movement of water= across Ganymede's surface, possibly in a very thin atmosphere. Brighter spots are also scattered across this hemisphere of Ganymede. They may be related to impact craters, or may represent source regions of fresh ice."
"Ganymede at 87,000 miles",1979-03-05,PIA00354,https://photojournal.jpl.nasa.gov/catalog/PIA00354,"This picture of Ganymede, Jupiter's largest satellite was taken on the afternoon of March 5, 1979 from a range 145,000 km (87,000 mi). The width of the picture represents about 580 km (548 mi.) on the surface of Ganymede, and the smallest visible features are about 3 km (1.7 mi) across. The picture shows complex patterns of ridges and grooves which are probably the results of deformations of Ganymede's thick icy crust. Some systems of grooves and ridges are superposed on the ridge and groove systems indicating they are younger. A more degraded crater near the left center of the picture is crossed by ridges indicated that it predates the period of crystal deformation."
Ganymede at 3.4 million miles,1979-03-02,PIA00352,https://photojournal.jpl.nasa.gov/catalog/PIA00352,"This color picture of Ganymede, Jupiter's largest satellite, was taken on the afternoon of March 2, 1979, by Voyager 1 from a distance of about 3.4 million kilometers (2.1 million miles). This photograph was assembled from three black-and-white pictures in the Image Processing Laboratory at JPL. This face of Ganymede is centered on the 260° meridian. Ganymede is slightly larger than the planet Mercury but has a density almost three times less than Mercury. Therefore, Ganymede probably consists in large part of ice. At this resolution the surface shows light and dark markings interspersed with bright spots. The large darkish area near the center of the satellite is crossed by irregular light streaks somewhat similar to rays seen on the Moon. The bright patch in the southern hemisphere is reminiscent of some of the larger rayed craters on the Moon caused by meteorite impact."
Callisto Mosaic,1996-08-12,PIA00080,https://photojournal.jpl.nasa.gov/catalog/PIA00080,"Callisto was revealed by the Voyager cameras to be a heavily cratered and hence geologically inactive world. This mosaic of Voyager 1 images, obtained on March 6 from a distance of about 400,000 kilometers, shows surface detail as small as 10 kilometers across. The prominent old impact feature Valhalla has a central bright spot about 600 kilometers across, probably representing the original impact basin. The concentric bright rings extend outward about 1500 kilometers from the impact center."
Jupiter Great Red Spot Mosaic,1996-08-01,PIA00022,https://photojournal.jpl.nasa.gov/catalog/PIA00022,"This photo of Jupiter's Great Red Spot was taken by Voyager 1 in early March 1979. Distance from top to bottom of the picture is 15,000 miles (24,000 kilometers). Smallest features visible are about 20 miles (30 kilometers) across. The white feature below the Great Red Spot is one of several white ovals that were observed to form about 40 years ago; they move around Jupiter at a different velocity from the Red Spot. During the Voyager 1 encounter period, material was observed to revolve around the center of the spot with a period of six days."
Crescent Earth and Moon,1996-08-29,PIA00013,https://photojournal.jpl.nasa.gov/catalog/PIA00013,"This picture of a crescent-shaped Earth and Moon -- the first of its kind ever taken by a spacecraft -- was recorded Sept. 18, 1977, by NASA's Voyager 1 when it was 7.25 million miles (11.66 million kilometers) from Earth. The Moon is at the top of the picture and beyond the Earth as viewed by Voyager. In the picture are eastern Asia, the western Pacific Ocean and part of the Arctic. Voyager 1 was directly above Mt. Everest (on the night side of the planet at 25 degrees north latitude) when the picture was taken. The photo was made from three images taken through color filters, then processed by the Jet Propulsion Laboratory's Image Processing Lab. Because the Earth is many times brighter than the Moon, the Moon was artificially brightened by a factor of three relative to the Earth by computer enhancement so that both bodies would show clearly in the print."
Europa - Full Disk,1979-03-04,PIA00016,https://photojournal.jpl.nasa.gov/catalog/PIA00016,"This picture of Europa, the smallest Galilean satellite, was taken in the afternoon of March 4, 1979, from a distance of about 2 million kilometers (1.2 million miles) by Voyager 1. This face of Europa is centered at about the 300° meridian. The resolution of this picture of Europa is about the best that will be obtained by Voyager 1, but the second spacecraft will take much clearer photographs of this satellite in July. The bright areas are probably ice deposits while the darkened areas may be the rocky surface or areas with a more patchy distribution of ice. The most unusual features are the systems of long linear structures which cross the surface in various directions. Some of these linear structures are over a thousand kilometers long and about 2 or 3 hundred kilometers wide. They may be fractures or faults which have disrupted the surface."
Early Voyager 1 Images of Jupiter,1974-12-03,PIA00454,https://photojournal.jpl.nasa.gov/catalog/PIA00454,"These Jupiter photographs are part of a set taken by Voyager 1 on December 10 and 11, 1978 from a distance of 83 million km (52 million miles) or more than half the distance from the Earth to the sun. At this range, Voyager 1 is able to record more detail on the giant planet than the very best ground-based telescopes. The highest resolution ever obtained on the Jovian disk was recorded by Pioneer 11 four years ago. Voyager, however, has longer focal-length optics than Pioneer, and while nearly three months from encounter (~ March 1979) was able to achieve higher resolution than that obtained by Pioneer only 24 hours from its encounter on 3 December 1974."
Dione Mosaic,1980-11-12,PIA00028,https://photojournal.jpl.nasa.gov/catalog/PIA00028,"Many impact craters -- the record of the collision of cosmic debris -- are shown in this Voyager 1 mosaic of Saturn's moon Dione. The largest crater is less than 100 kilometers (62 miles) in diameter and shows a well-developed central peak. Bright rays represent material ejected from other impact craters. Sinuous valleys probably formed by faults break the moon's icy crust. Images in this mosaic were taken from a range of 162,000 kilometers (100,600 miles) on Nov. 12, 1980."
"Solar System Portrait - View of the Sun, Earth and Venus",1990-02-14,PIA00450,https://photojournal.jpl.nasa.gov/catalog/PIA00450,"This color image of the sun, Earth and Venus was taken by the Voyager 1 spacecraft Feb. 14, 1990, when it was approximately 32 degrees above the plane of the ecliptic and at a slant-range distance of approximately 4 billion miles. It is the first -- and may be the only -- time that we will ever see our solar system from such a vantage point. The image is a portion of a wide-angle image containing the sun and the region of space where the Earth and Venus were at the time with two narrow-angle pictures centered on each planet. The wide-angle was taken with the camera's darkest filter (a methane absorption band), and the shortest possible exposure (5 thousandths of a second) to avoid saturating the camera's vidicon tube with scattered sunlight. The sun is not large in the sky as seen from Voyager's perspective at the edge of the solar system but is still eight million times brighter than the brightest star in Earth's sky, Sirius. The image of the sun you see is far larger than the actual dimension of the solar disk. The result of the brightness is a bright burned out image with multiple reflections from the optics in the camera. The ""rays"" around the sun are a diffraction pattern of the calibration lamp which is mounted in front of the wide angle lens. The two narrow-angle frames containing the images of the Earth and Venus have been digitally mosaiced into the wide-angle image at the appropriate scale. These images were taken through three color filters and recombined to produce a color image. The violet, green and blue filters were used; exposure times were, for the Earth image, 0.72, 0.48 and 0.72 seconds, and for the Venus frame, 0.36, 0.24 and 0.36, respectively. Although the planetary pictures were taken with the narrow-angle camera (1500 mm focal length) and were not pointed directly at the sun, they show the effects of the glare from the nearby sun, in the form of long linear streaks resulting from the scattering of sunlight off parts of the camera and its sun shade. From Voyager's great distance both Earth and Venus are mere points of light, less than the size of a picture element even in the narrow-angle camera. Earth was a crescent only 0.12 pixel in size. Coincidentally, Earth lies right in the center of one of the scattered light rays resulting from taking the image so close to the sun. Detailed analysis also suggests that Voyager detected the moon as well, but it is too faint to be seen without special processing. Venus was only 0.11 pixel in diameter. The faint colored structure in both planetary frames results from sunlight scattered in the optics."
Solar System Portrait - Earth as ‘Pale Blue Dot’,1996-09-12,PIA00452,https://photojournal.jpl.nasa.gov/catalog/PIA00452,"This narrow-angle color image of the Earth, dubbed 'Pale Blue Dot', is a part of the first ever 'portrait' of the solar system taken by Voyager 1. The spacecraft acquired a total of 60 frames for a mosaic of the solar system from a distance of more than 4 billion miles from Earth and about 32 degrees above the ecliptic. From Voyager's great distance Earth is a mere point of light, less than the size of a picture element even in the narrow-angle camera. Earth was a crescent only 0.12 pixel in size. Coincidentally, Earth lies right in the center of one of the scattered light rays resulting from taking the image so close to the sun. This blown-up image of the Earth was taken through three color filters -- violet, blue and green -- and recombined to produce the color image. The background features in the image are artifacts resulting from the magnification."
Jupiter with Io Crossing,1979-01-17,PIA00455,https://photojournal.jpl.nasa.gov/catalog/PIA00455,"Jupiter's satellite Io poses before the giant planet in this photo returned January 17, 1979, from a distance of 29 million miles (47 million kilometers). The satellite's shadow can be seen falling on the face of Jupiter at left. Io is traveling from left to right in its one-and-three-quarter-day orbit around Jupiter. Even from this great distance the image of Io shows dark poles and a bright equatorial region. Voyager will make its closest approach to Jupiter -- 174,000 miles (280,000 kilometer) -- on March 5. It will then continue to Saturn in November 1980, Meanwhile Voyager 2, a sister spacecraft, will fly past Jupiter July 9, 1979, and reach Saturn in August 1981. This color image was taken through orange, green and blue filters."
