title,caption,image_url,date
Miranda’s Icy Face,"Uranus' icy moon Miranda is seen in this image from Voyager 2 on January 24, 1986.",https://photojournal.jpl.nasa.gov/jpeg/PIA18185.jpg,1986-01-24
Uranus as seen by NASA’s Voyager 2,This is an image of the planet Uranus taken by the spacecraft Voyager 2 in 1986.,https://photojournal.jpl.nasa.gov/jpeg/PIA18182.jpg,1986-12-18
Triton’s Volcanic Plumes,"These three sequential images of an erupting volcano on Neptune's large moon Triton were taken by NASA's Voyager 2 as the spacecraft approach the moon on Aug. 26, 1989. The images, taken about 45 minutes apart (top to bottom), show the geyser-like volcanic plume spewing an eight kilometer- (five mile-) tall cloud of fine, dark particles into Triton's thin atmosphere. The cloud can be seen drifting downwind to the right for a distance of roughly 150 kilometers (about 100 miles). In the last view (bottom), the shadow of the lound cloud can be distinguished. The density of the cloud appears to increase through the sequence of images; whether this change was real or whether the cloud simply appears to grow when viewed from different angles is uncertain. Voyager scientists say one explanation for the mechanism that drives such eruptions is that sunlight absorbed by dark particles inside Triton's ice cap warms nitrogen ice, causing the pressure of nitrogen gas to increase. The pressurized gas then escapes through vents, carrying aloft with it dark, powdery particles that are left suspended to drift downwind. Triton, Eath, and Jupiter's moon Io are the only three objects in the solar system known to have active volcanos.",https://photojournal.jpl.nasa.gov/jpeg/PIA14449.jpg,1989-08-26
Triton’s Dark Plume,"A several-kilometers-tall, geyser-like eruption of dark material is seen shooting almost straight up from the surface of Neptune's moon, Triton, in this Voyager 2 image, acquired on Aug. 24, 1989, from a distance of 99,920 kilometers (about 62,000 miles). This dark plume first discovered in stereo images taken by Voyager 2 consists of a narrow stem that rises vertically nearly eight kilometers (five miles), forming a cloud that drifts 150 kilometers (90 miles) westward in Triton's winds. The image shows the geyser-like column nearly in profile, as the spacecraft was only 16 degrees above the hotizon as seen from Triton's surface at the base of the plume. While Voyager scientists are still trying to determine the mechanism responsible for the eruption, one possibility being considered is that pressurized gas, probably nitrogen, rises from beneath the surface and carries aloft dark particles, probably including carbon-rich materials and possibly ice crystals. The plume carries the particles to an altitude where they are left suspended as a westward-drifting cloud. (The same image is shown in the upper and lower panels; the lower panel is marked to indicate the top and bottom of the plume, the lateral extent of the cloud, and the visible extent of the cloud's shows.)",https://photojournal.jpl.nasa.gov/jpeg/PIA14448.jpg,1989-08-24
Uranus Rings in False Color,"This false-color view of the rings of Uranus was made from images taken by Voyager 2 on Jan. 21, 1986, from a distance of 4.17 million kilometers (2.59 million miles). All nine known rings are visible here; the somewhat fainter, pastel lines seen between them are contributed by the computer enhancement. Six 15-second narrow-angle images were used to extract color information from the extremely dark and faint rings. Two images each in the green, clear and violet filters were added together and averaged to find the proper color differences between the rings. The final image was made from these three color averages and represents an enhanced, false-color view. The image shows that the brightest, or epsilon, ring at top is neutral in color, with the fainter eight other rings showing color differences between them. Moving down, toward Uranus, we see the delta, gamma and eta rings in shades of blue and green; the beta and alpha rings in somewhat lighter tones; and then a final set of three, known simply as the 4, 5 and 6 rings, in faint off-white tones. Scientists will use this color information to try to understand the nature and origin of the ring material. The resolution of this image is approximately 40 km (25 mi).",https://photojournal.jpl.nasa.gov/jpeg/PIA00033.jpg,1986-01-21
Saturn With Rhea and Dione (True Color),"NASA's Voyager 2 took this 'true color' photograph of Saturn on July 21, 1981, when the spacecraft was 33.9 million kilometers (21 million miles) from the planet. Two bright, presumably convective cloud patterns are visible in the mid-northern hemisphere and several dark spoke-like features can be seen in the broad B-ring (left of planet). The moons Rhea and Dione appear as blue dots to the south and southeast of Saturn, respectively. Voyager 2 made its closest approach to Saturn on Aug. 25, 1981.",https://photojournal.jpl.nasa.gov/jpeg/PIA00030.jpg,1981-07-21
Titania High-Resolution Color Composite,"This high-resolution color composite of Titania was made from Voyager 2 images taken Jan. 24, 1986, as the spacecraft neared its closest approach to Uranus. Voyager's narrow-angle camera acquired this image of Titania, one of the large moons of Uranus, through the violet and clear filters. The spacecraft was about 500,000 kilometers (300,000 miles) away; the picture shows details about 9 km (6 mi) in size. Titania has a diameter of about 1,600 km (1,000 mi). In addition to many scars due to impacts, Titania displays evidence of other geologic activity at some point in its history. The large, trenchlike feature near the terminator (day-night boundary) at middle right suggests at least one episode of tectonic activity. Another, basinlike structure near the upper right is evidence of an ancient period of heavy impact activity. The neutral gray color of Titania is characteristic of the Uranian satellites as a whole.",https://photojournal.jpl.nasa.gov/jpeg/PIA00036.jpg,1986-01-24
Titania - Highest Resolution Voyager Picture,"This is the highest-resolution picture of Titania returned by Voyager 2. The picture is a composite of two images taken Jan. 24, 1986, through the clear filter of Voyager's narrow-angle camera. At the time, the spacecraft was 369,000 kilometers (229,000 miles) from the Uranian moon; the resolution was 13 km (8 mi). Titania is the largest satellite of Uranus, with a diameter of a little more than 1,600 km (1,000 mi). Abundant impact craters of many sizes pockmark the ancient surface. The most prominent features are fault valleys that stretch across Titania. They are up to 1,500 km (nearly 1,000 mi) long and as much as 75 km (45 mi) wide. In valleys seen at right-center, the sunward-facing walls are very bright. While this is due partly to the lighting angle, the brightness also indicates the presence of a lighter material, possibly young frost deposits. An impact crater more than 200 km (125 mi) in diameter distinguishes the very bottom of the disk; the crater is cut by a younger fault valley more than 100 km (60 mi) wide. An even larger impact crater, perhaps 300 km (180 mi) across, is visible at top.",https://photojournal.jpl.nasa.gov/jpeg/PIA00039.jpg,1986-01-24
Miranda - ‘Chevron’ Grooves,"This image of Miranda, obtained by Voyager 2 on approach, shows an unusual 'chevron' figure and regions of distinctly differing terrain on the Uranian moon. Voyager was 42,000 kilometers (26,000 miles) away when its narrow-angle camera acquired this clear-filter view. Grooved areas baring light and dark bands, distinct from other areas of mottled terrain, are visible at this resolution of about 600 meters (2,000 feet). The bright V-shaped feature in the grooved areas is the 'chevron' observed in earlier, lower-resolution images. Cutting across the bands are sinuous scarps, probably faults. Superimposed on both types of terrain are many bowl-shaped impact craters less than 5 km (3 mi) wide. The entire picture spans an area about 220 km (140 mi) across.",https://photojournal.jpl.nasa.gov/jpeg/PIA00038.jpg,1996-01-29
Ganymede Mosaic,"The hemisphere of Ganymede that faces away from the Sun displays a great variety of terrain. In this Voyager 2 mosaic, photographed at a range of 300,000 kilometers, the ancient dark area of Regio Galileo lies at the upper left. Below it, the ray system is probably caused by water-ice, splashed out in a relatively recent impact.",https://photojournal.jpl.nasa.gov/jpeg/PIA00081.jpg,1996-01-29
Oberon at Voyager Closest Approach,"This Voyager 2 picture of Oberon is the best the spacecraft acquired of Uranus' outermost moon. The picture was taken shortly after 3:30 a.m. PST on Jan. 24, 1986, from a distance of 660,000 kilometers (410,000 miles). The color was reconstructed from images taken through the narrow-angle camera's violet, clear and green filters. The picture shows features as small as 12 km (7 mi) on the moon's surface. Clearly visible are several large impact craters in Oberon's icy surface surrounded by bright rays similar to those seen on Jupiter's moon Callisto. Quite prominent near the center of Oberon's disk is a large crater with a bright central peak and a floor partially covered with very dark material. This may be icy, carbon-rich material erupted onto the crater floor sometime after the crater formed. Another striking topographic feature is a large mountain, about 6 km (4 mi) high, peeking out on the lower left limb.",https://photojournal.jpl.nasa.gov/jpeg/PIA00034.jpg,1986-01-24
"Miranda Fractures, Grooves and Craters","This Voyager 2 image of Miranda was taken Jan 24, 1986, from a distance of about 31,000 kilometers (19,000 miles), shortly before the spacecraft's closest approach to the Uranian moon. The high resolution of 600 meters (2,000 feet) reveals a bewildering variety of fractures, grooves and craters, as well as features of different albedos (reflectancea). This clear-filter, narrow-angle view encompasses areas of older, heavily cratered terrain with a wide variety of forms. The grooves and troughs reach depths of a few kilometers (or miles) and expose materials of different albedos. The great variety of directions of fractures and troughs, and the different densities of impact craters on them, signify a long, complex geologic evolution of this satellite.",https://photojournal.jpl.nasa.gov/jpeg/PIA00140.jpg,1986-01-24
